-4.2,0.0001
-4.1,0.0002
-4.0,0.0002
-3.9,0.0003
-3.8,0.0004
-3.7,0.0006
-3.6,0.0008
-3.5,0.0012
-3.4,0.0016
-3.3,0.0022
-3.2,0.0029
-3.1,0.0039
-3.0,0.0051
-2.9,0.0067
-2.8,0.0088
-2.7,0.0114
-2.6,0.0146
-2.5,0.0186
-2.4,0.0235
-2.3,0.0295
-2.2,0.0366
-2.1,0.0450
-2.0,0.0549
-1.9,0.0664
-1.8,0.0795
-1.7,0.0944
-1.6,0.1110
-1.5,0.1294
-1.4,0.1493
-1.3,0.1707
-1.2,0.1933
-1.1,0.2168
-1.0,0.2408
-0.9,0.2648
-0.8,0.2883
-0.7,0.3109
-0.6,0.3319
-0.5,0.3508
-0.4,0.3671
-0.3,0.3803
-0.2,0.3900
-0.1,0.3959
0.0,0.3979
0.1,0.3959
0.2,0.3900
0.3,0.3803
0.4,0.3671
0.5,0.3508
0.6,0.3319
0.7,0.3109
0.8,0.2883
0.9,0.2648
1.0,0.2408
1.1,0.2168
1.2,0.1933
1.3,0.1707
1.4,0.1493
1.5,0.1294
1.6,0.1110
1.7,0.0944
1.8,0.0795
1.9,0.0664
2.0,0.0549
2.1,0.0450
2.2,0.0366
2.3,0.0295
2.4,0.0235
2.5,0.0186
2.6,0.0146
2.7,0.0114
2.8,0.0088
2.9,0.0067
3.0,0.0051
3.1,0.0039
3.2,0.0029
3.3,0.0022
3.4,0.0016
3.5,0.0012
3.6,0.0008
3.7,0.0006
3.8,0.0004
3.9,0.0003
4.0,0.0002
4.1,0.0002
4.2,0.0001
